app,year,metric,value,source_name,source_url
Calm,2015,revenue_usd_mm,2,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2016,revenue_usd_mm,7,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2017,revenue_usd_mm,37,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2018,revenue_usd_mm,80,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2019,revenue_usd_mm,150,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2020,revenue_usd_mm,200,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2021,revenue_usd_mm,330,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2022,revenue_usd_mm,355,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2023,revenue_usd_mm,300,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2024,revenue_usd_mm,277,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2025,revenue_usd_mm,210,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2016,downloads_mm,2.3,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2017,downloads_mm,8.9,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2018,downloads_mm,19.3,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2019,downloads_mm,24.5,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2020,downloads_mm,32.3,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
Calm,2021,downloads_mm,20.6,Business of Apps — Calm Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/calm-statistics/
