app,week_label,metric,value,geo,platform,source_name,source_url
Headspace,Q2_start,weekly_revenue_usd,434000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Headspace,Q2_end,weekly_revenue_usd,428000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Headspace,Q2_high,weekly_downloads,35000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Headspace,Q2_end,weekly_downloads,29000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Headspace,Q2_start,weekly_active_users,550000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Headspace,Q2_end,weekly_active_users,504000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
ShutEye,Q2_start,weekly_revenue_usd,377000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
ShutEye,Q2_end,weekly_revenue_usd,186000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
ShutEye,Q2_start,weekly_downloads,183000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
ShutEye,Q2_end,weekly_downloads,70000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
ShutEye,Q2_start,weekly_active_users,382000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
