name,segment,publisher,comparison_category,ios_id,android_package,ios_track_name,ios_average_user_rating,ios_user_rating_count,ios_price,ios_primary_genre,ios_track_view_url,play_downloads_text,play_rating,play_rating_count,play_source_url,ios_source_url
Calm,meditation_sleep_platform,"Calm.com, Inc.",,571800810,com.calm.android,Calm,4.77325,1968646,0.0,Health & Fitness,https://apps.apple.com/us/app/calm/id571800810?uo=4,50M+,4.4745869636535645,613342,https://play.google.com/store/apps/details?id=com.calm.android&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=571800810&country=us
Headspace,meditation_sleep_platform,Headspace Inc.,,493145008,com.getsomeheadspace.android,Headspace: Sleep & Meditation,4.84242,973908,0.0,Health & Fitness,https://apps.apple.com/us/app/headspace-sleep-meditation/id493145008?uo=4,10M+,4.2660441398620605,339957,https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=493145008&country=us
BetterSleep,sleep_sounds,Ipnos Software Inc.,,314498713,com.bettersleep.app,BetterSleep: Relax and Sleep,4.74272,390585,0.0,Health & Fitness,https://apps.apple.com/us/app/bettersleep-relax-and-sleep/id314498713?uo=4,10+,,,https://play.google.com/store/apps/details?id=com.bettersleep.app&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=314498713&country=us
Sleep Cycle,sleep_tracker,Sleep Cycle AB,,320606217,com.northcube.sleepcycle,Sleep Cycle - Tracker & Sounds,4.67969,27305,0.0,Health & Fitness,https://apps.apple.com/us/app/sleep-cycle-tracker-sounds/id320606217?uo=4,10M+,4.338240623474121,217073,https://play.google.com/store/apps/details?id=com.northcube.sleepcycle&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=320606217&country=us
ShutEye,sleep_sounds_tracker,Enerjoy Pte. Ltd.,,1490078804,com.sleepmonitor.aio,"ShutEye®: Sleep Tracker, Sound",4.76513,348852,0.0,Health & Fitness,https://apps.apple.com/us/app/shuteye-sleep-tracker-sound/id1490078804?uo=4,10M+,4.572580814361572,116785,https://play.google.com/store/apps/details?id=com.sleepmonitor.aio&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=1490078804&country=us
White Noise Deep Sleep Sounds,white_noise,"Slumber Studios, LLC",,1083248251,com.kitefaster.MagicBabySleeperFree,White Noise Deep Sleep Sounds,4.79615,205753,0.0,Health & Fitness,https://apps.apple.com/us/app/white-noise-deep-sleep-sounds/id1083248251?uo=4,,,,https://play.google.com/store/apps/details?id=com.kitefaster.MagicBabySleeperFree&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=1083248251&country=us
Insight Timer,meditation,Insight Network Inc.,,337472899,com.spotlightsix.zentimerlite2,"Insight Timer: Meditate, Sleep",4.89499,443514,0.0,Health & Fitness,https://apps.apple.com/us/app/insight-timer-meditate-sleep/id337472899?uo=4,10M+,4.705506324768066,259960,https://play.google.com/store/apps/details?id=com.spotlightsix.zentimerlite2&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=337472899&country=us
myNoise,noise_generator,myNoise BVBA,,1523675125,net.mynoise.player,myNoise: Focus · Relax · Sleep,4.7183,962,0.0,Health & Fitness,https://apps.apple.com/us/app/mynoise-focus-relax-sleep/id1523675125?uo=4,,,,https://play.google.com/store/apps/details?id=net.mynoise.player&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=1523675125&country=us
Noisli,noise_generator,Noisli Labs UG,,862773459,com.noisli.noisli,Noisli,4.16863,255,1.99,Health & Fitness,https://apps.apple.com/us/app/noisli/id862773459?uo=4,,,,https://play.google.com/store/apps/details?id=com.noisli.noisli&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=862773459&country=us
Endel,adaptive_soundscapes,Endel,,1346247457,com.endel.endel,Endel: Focus & Sleep Sounds,4.6399,33321,0.0,Health & Fitness,https://apps.apple.com/us/app/endel-focus-sleep-sounds/id1346247457?uo=4,1M+,4.249411582946777,21890,https://play.google.com/store/apps/details?id=com.endel.endel&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=1346247457&country=us
White Noise Lite (TMSOFT),white_noise,TMSOFT,,292987597,com.tmsoft.whitenoise.lite,White Noise Lite,4.82378,272460,0.0,Health & Fitness,https://apps.apple.com/us/app/white-noise-lite/id292987597?uo=4,5M+,4.538904666900635,67420,https://play.google.com/store/apps/details?id=com.tmsoft.whitenoise.lite&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=292987597&country=us
Strava,fitness_tracking,Strava Inc.,fitness,426826309,com.strava,"Strava: Run, Bike, Walk",4.81145,365144,0.0,Health & Fitness,https://apps.apple.com/us/app/strava-run-bike-walk/id426826309?uo=4,100M+,4.590920925140381,1153025,https://play.google.com/store/apps/details?id=com.strava&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=426826309&country=us
MyFitnessPal,nutrition,"MyFitnessPal, Inc.",fitness,341232718,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,4.71258,2346569,0.0,Health & Fitness,https://apps.apple.com/us/app/myfitnesspal-calorie-counter/id341232718?uo=4,100M+,4.398862838745117,2906359,https://play.google.com/store/apps/details?id=com.myfitnesspal.android&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=341232718&country=us
Spotify,music_streaming,Spotify AB,entertainment,324684580,com.spotify.music,Spotify: Music and Podcasts,4.77787,41199265,0.0,Music,https://apps.apple.com/us/app/spotify-music-and-podcasts/id324684580?uo=4,1B+,4.340091228485107,36012584,https://play.google.com/store/apps/details?id=com.spotify.music&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=324684580&country=us
Duolingo,education,Duolingo,education,570060128,com.duolingo,Duolingo: Language Lessons,4.72524,5348923,0.0,Education,https://apps.apple.com/us/app/duolingo-language-lessons/id570060128?uo=4,500M+,4.7284979820251465,47232726,https://play.google.com/store/apps/details?id=com.duolingo&hl=en_US&gl=US,https://itunes.apple.com/lookup?id=570060128&country=us
