name,handle,category,yt_channel_id,yt_title,yt_subscribers,yt_total_views,yt_video_count,yt_country,yt_source_url,vidiq_monthly_views,vidiq_est_monthly_earnings_usd,vidiq_est_per_video_earnings_usd,vidiq_monthly_sub_change,vidiq_source_url,est_revenue_low_usd,est_revenue_mid_usd,est_revenue_high_usd,est_monthly_ad_revenue_usd,rpm_low,rpm_mid,rpm_high
Soothing Relaxation,soothingrelaxation,sleep_music,UCIIzc3b8U0_vtVScDEyFGew,Soothing Relaxation,12000000,5014512740,600,Norway,https://www.youtube.com/@soothingrelaxation/about,24580000,27300.0,9100.0,0,https://vidiq.com/youtube-stats/channel/@soothingrelaxation/,36870.0,73740.0,98320.0,27300.0,1.5,3.0,4.0
Yellow Brick Cinema - Relaxing Music,yellowbrickcinema,sleep_music,UCwobzUc3z-0PrFpoRxNszXQ,Yellow Brick Cinema - Relaxing Music,6460000,2656109637,3400,United States,https://www.youtube.com/@yellowbrickcinema/about,4710000,19300.0,1380.0,-10000,https://vidiq.com/youtube-stats/channel/@yellowbrickcinema/,7065.0,14130.0,18840.0,19300.0,1.5,3.0,4.0
Meditative Mind,meditativemind,meditation_sleep,UCM0YvsRfYfsniGAhjvYFOSA,Meditative Mind,6460000,1765621206,1800,Australia,https://www.youtube.com/@meditativemind/about,12350000,4170.0,521.0,10000,https://vidiq.com/youtube-stats/channel/@meditativemind/,18525.0,37050.0,49400.0,4170.0,1.5,3.0,4.0
Relaxing White Noise,relaxingwhitenoise,white_noise,UCbunYN0o9Yaid7zHaor_UHA,Relaxing White Noise,4480000,2723683285,1300,United States,https://www.youtube.com/@relaxingwhitenoise/about,30300000,103150.0,6070.0,20000,https://vidiq.com/youtube-stats/channel/@relaxingwhitenoise/,45450.0,90900.0,121200.0,103150.0,1.5,3.0,4.0
Jason Stephenson - Guided Sleep Meditation,jasonstephensonmeditation,sleep_meditation,UCnj31fpPRsSJLchEKMEChrw,Jason Stephenson - Guided Sleep Meditation ,3690000,1055567745,1000,United States,https://www.youtube.com/@jasonstephensonmeditation/about,5580000,8070.0,2020.0,10000,https://vidiq.com/youtube-stats/channel/@jasonstephensonmeditation/,8370.0,16740.0,22320.0,8070.0,1.5,3.0,4.0
The Honest Guys,thehonestguys,guided_meditation,UCTDiRJp9MeAgZbmwmq4w4GA,The Honest Guys - Meditations - Relaxation,1290000,456429371,802,United Kingdom,https://www.youtube.com/@thehonestguys/about,850200,3410.0,1710.0,0,https://vidiq.com/youtube-stats/channel/@thehonestguys/,1275.3,2550.6,3400.8,3410.0,1.5,3.0,4.0
Michael Sealey,michaelsealey,sleep_hypnosis,UCfZ0jscxj3Fm_Xt2hv7Z3Xw,Michael Sealey,2069999,457982312,262,,https://www.youtube.com/@michaelsealey/about,2530000,7200.0,1800.0,10000,https://vidiq.com/youtube-stats/channel/@michaelsealey/,3795.0,7590.0,10120.0,7200.0,1.5,3.0,4.0
Nu Meditation Music,numeditationmusic,meditation_music,UC1dVfl5-I98WX3yCy8IJQMg,Nu Meditation Music,3100000,946613152,992,Portugal,https://www.youtube.com/@numeditationmusic/about,8680000,4210.0,526.0,10000,https://vidiq.com/youtube-stats/channel/@numeditationmusic/,13020.0,26040.0,34720.0,4210.0,1.5,3.0,4.0
MeditationRelaxClub,meditationrelaxclub,sleep_music,UCo0rWSrI9ZbswGDM5KdDU1A,MeditationRelaxClub - Sleep Music \u0026 Mindfulness,1740000,689322938,3600,United States,https://www.youtube.com/@meditationrelaxclub/about,1130000,596.79,85.0,0,https://vidiq.com/youtube-stats/channel/@meditationrelaxclub/,1695.0,3390.0,4520.0,596.79,1.5,3.0,4.0
Stardust Vibes - Relaxing Sounds,stardustvibes,ambient_sounds,UCqPYhcdFgrlUXiGmPRAej1w,Stardust Vibes - Relaxing Sounds,1590000,434791366,209,United Kingdom,https://www.youtube.com/@stardustvibes/about,1670000,6260.0,,0,https://vidiq.com/youtube-stats/channel/@stardustvibes/,2505.0,5010.0,6680.0,6260.0,1.5,3.0,4.0
Greenred Productions - Relaxing Music,greenredproductions,sleep_music,UC1bjWVLp2aaJmPcNbi9OOsw,Greenred Productions - Relaxing Music,1320000,396459387,1100,Lithuania,https://www.youtube.com/@greenredproductions/about,2490000,2009.9999999999998,503.0,0,https://vidiq.com/youtube-stats/channel/@greenredproductions/,3735.0,7470.0,9960.0,2009.9999999999998,1.5,3.0,4.0
Calm,calm,brand_sleep,UChSpME3QaSFAWK8Hpmg-Dyw,Calm,1300000,273106199,1000,United States,https://www.youtube.com/@calm/about,3510000,14390.0,2880.0,10000,https://vidiq.com/youtube-stats/channel/@calm/,5265.0,10530.0,14040.0,14390.0,1.5,3.0,4.0
Headspace,headspace,brand_meditation,UC3JhfsgFPLSLNEROQCdj-GQ,Headspace,1110000,823115586,816,United States,https://www.youtube.com/@headspace/about,1440000,5910.0,537.0,0,https://vidiq.com/youtube-stats/channel/@headspace/,2160.0,4320.0,5760.0,5910.0,1.5,3.0,4.0
