niche,cpm_low,cpm_median,cpm_high,rpm_equiv,n,source_name,source_url
Insurance,20,31,55,17.05,3,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
Personal Finance,18,29.3,50,16.12,7,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
Education / Tutorials,5,8.5,14,4.68,5,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
Fitness,3,5.5,10,3.03,5,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
Gaming,1.8,3.4,6.5,1.87,8,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
Music,1.2,2.4,4.5,1.32,5,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
ASMR,1.0,2.0,4.0,1.1,3,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
Kids Content (post-COPPA),0.4,0.7,1.2,0.39,6,LensPOV Research — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
Ambient & Sleep Soundscapes,2.0,3.0,6.0,1.65,,NicheTracker — Ambient & Sleep Soundscapes (June 2026 review; CPM est. from vidIQ/Miraflow),https://nichetracker.live/niche/ambient-sleep-sounds
Sleep / ASMR (creator RPM guide),,,,2.75,,Leaxor — How Sleep Restore Channels Make Videos & Earn (2026),https://leaxor.com/creators/sleep-restore
