system,project_count,min_projects_threshold,year,source
Generic / Universal,160,5,2025,skalchemist_2025_report
Shadowdark,86,5,2025,skalchemist_2025_report
Mothership,45,5,2025,skalchemist_2025_report
Old School Essentials,44,5,2025,skalchemist_2025_report
Dungeon Crawl Classics,34,5,2025,skalchemist_2025_report
Mork Borg,34,5,2025,skalchemist_2025_report
Pathfinder 2E,28,5,2025,skalchemist_2025_report
Savage Worlds,27,5,2025,skalchemist_2025_report
Dragonbane,21,5,2025,skalchemist_2025_report
Mausritter,18,5,2025,skalchemist_2025_report
AD&D 1E,16,5,2025,skalchemist_2025_report
Daggerheart,15,5,2025,skalchemist_2025_report
Draw Steel,12,5,2025,skalchemist_2025_report
Pathfinder 1E,10,5,2025,skalchemist_2025_report
