year,platform,metric,value_usd,source
2023,Kickstarter,campaign_count,164,ttrpg_spider_nov_2025
2024,Kickstarter,campaign_count,150,ttrpg_spider_nov_2025
2025,Kickstarter,campaign_count,172,ttrpg_spider_nov_2025
2023,Backerkit,campaign_count,10,ttrpg_spider_nov_2025
2024,Backerkit,campaign_count,29,ttrpg_spider_nov_2025
2025,Backerkit,campaign_count,46,ttrpg_spider_nov_2025
2023,Kickstarter,total_pledged,9018619.50,ttrpg_spider_nov_2025
2024,Kickstarter,total_pledged,8957845.53,ttrpg_spider_nov_2025
2025,Kickstarter,total_pledged,7186728.47,ttrpg_spider_nov_2025
2023,Backerkit,total_pledged,1256857.98,ttrpg_spider_nov_2025
2024,Backerkit,total_pledged,2601889.34,ttrpg_spider_nov_2025
2025,Backerkit,total_pledged,1836907.08,ttrpg_spider_nov_2025
2023,Kickstarter,mean_pledged,54991.58,ttrpg_spider_nov_2025
2024,Kickstarter,mean_pledged,59718.97,ttrpg_spider_nov_2025
2025,Kickstarter,mean_pledged,41783.31,ttrpg_spider_nov_2025
2023,Kickstarter,median_pledged,6189.33,ttrpg_spider_nov_2025
2024,Kickstarter,median_pledged,5382.44,ttrpg_spider_nov_2025
2025,Kickstarter,median_pledged,5768.63,ttrpg_spider_nov_2025
2023,D&D_5E,campaign_count,67,ttrpg_spider_nov_2025
2024,D&D_5E,campaign_count,76,ttrpg_spider_nov_2025
2025,D&D_5E,campaign_count,76,ttrpg_spider_nov_2025
2023,D&D_5E,total_pledged,5824894.60,ttrpg_spider_nov_2025
2024,D&D_5E,total_pledged,2343963.24,ttrpg_spider_nov_2025
2025,D&D_5E,total_pledged,3428051.25,ttrpg_spider_nov_2025
2023,AI_assisted,campaign_count,29,ttrpg_spider_nov_2025
2024,AI_assisted,campaign_count,37,ttrpg_spider_nov_2025
2025,AI_assisted,campaign_count,51,ttrpg_spider_nov_2025
2023,AI_assisted,total_pledged,375584.36,ttrpg_spider_nov_2025
2024,AI_assisted,total_pledged,362118.92,ttrpg_spider_nov_2025
2025,AI_assisted,total_pledged,419589.22,ttrpg_spider_nov_2025
