year,project_count,total_value_usd,mean_project_value_usd,median_project_value_usd,source
2013,267,10993116,41173,10410,skalchemist_2025_report
2014,322,8586916,26667,6011,skalchemist_2025_report
2015,358,11024619,30795,5409,skalchemist_2025_report
2016,402,16989950,42264,8127,skalchemist_2025_report
2017,476,14345102,30137,8155,skalchemist_2025_report
2018,599,25363834,42344,10221,skalchemist_2025_report
2019,839,33529155,39963,6442,skalchemist_2025_report
2020,1066,38497610,36114,5655,skalchemist_2025_report
2021,1460,91371451,62583,6886,skalchemist_2025_report
2022,1423,58782825,41309,6338,skalchemist_2025_report
2023,1908,73725233,38640,4723,skalchemist_2025_report
2024,2190,91041594,41572,3867,skalchemist_2025_report
2025,2331,66988930,28738,3640,skalchemist_2025_report
