indicator,value,unit,year,source
global_market_size_low,1.9,billion_usd,2024,rpgdrop_market_analysis_2024
global_market_size_high,2.0,billion_usd,2024,rpgdrop_market_analysis_2024
active_players_worldwide,42,million,2024,industry_research_biz_2024
active_players_worldwide,27,million,2018,industry_research_biz_2024
medieval_fantasy_genre_share,54,percent,2024,industry_research_biz_2024
players_18_35_play_quarterly_pct,68,percent,2024,industry_research_biz_2024
rpg_purchases_digital_pct,43,percent,2024,industry_research_biz_2024
kickstarter_rpg_projects_launched,1892,count,2024,rpgdrop_market_analysis_2024
kickstarter_rpg_total_pledged_usd,64000000,USD,2024,rpgdrop_market_analysis_2024
gen_con_attendance,71000,count,2024,rpgdrop_market_analysis_2024
dnd_hobby_store_sales_share_estimate,50,percent,2024,rpgdrop_market_analysis_2024_citing_icv2
