dataset,source_title,source_url,retrieved_date,notes
kickstarter_rpg_crowdfunding_yearly.csv,2025 Year End RPG-related Crowdfunding Report,https://skalchemist.cloud/mediawiki/index.php/2025_Year_End_RPG-related_Crowdfunding_Report,2026-07-09,"All-platform RPG crowdfunding; values inflation-adjusted to Nov 2025 USD"
kickstarter_tabletop_games_2024.csv,2024 Was a Big Year for Games on Kickstarter,https://updates.kickstarter.com/kickstarter-biggest-platform-for-games/,2026-07-09,Kickstarter official blog — all tabletop games (not RPG-only)
kickstarter_success_rate_yearly.csv,Kickstarter Creative Download 2024 TTRPG Analysis,https://www.rpgdrop.com/kickstarters-the-creative-download-2024-analysis-with-focus-on-ttrpg-projects/,2026-07-09,Tabletop games success rates on Kickstarter
kickstarter_top_ttrpg_2024.csv,Kickstarter Creative Download 2024 TTRPG Analysis,https://www.rpgdrop.com/kickstarters-the-creative-download-2024-analysis-with-focus-on-ttrpg-projects/,2026-07-09,Top-funded TTRPG campaigns on Kickstarter in 2024
crowdfunding_platform_share_2025.csv,2025 Year End RPG-related Crowdfunding Report,https://skalchemist.cloud/mediawiki/index.php/2025_Year_End_RPG-related_Crowdfunding_Report,2026-07-09,Platform share of RPG crowdfunding projects and funding in 2025
crowdfunding_non5e_systems_2025.csv,2025 Year End RPG-related Crowdfunding Report,https://skalchemist.cloud/mediawiki/index.php/2025_Year_End_RPG-related_Crowdfunding_Report,2026-07-09,Non-D&D 5E projects with 5+ related crowdfunding campaigns in 2025
crowdfunding_november_yoy.csv,November 2025 TTRPG Crowdfunding Retrospective,https://ttrpg-spider.blogspot.com/2025/12/november-2025-ttrpg-crowdfunding.html,2026-07-09,Year-over-year November crowdfunding comparison (Kickstarter + Backerkit)
market_indicators.csv,Worldwide TTRPG Market in 2024 – Industry Analysis,https://www.rpgdrop.com/worldwide-ttrpg-market-in-2024-industry-analysis/,2026-07-09,Aggregated market size and player-base estimates from industry reporting
player_engagement_wotc_2024.csv,Wizards Of The Coast VP Reveals D&D 2024 Sales and Digital Usage,https://techraptor.net/tabletop/news/wizards-of-coast-vp-reveals-dungeons-dragons-2024-sales-and-digital-usage,2026-07-09,Official WotC-reported D&D engagement metrics for 2024
hobby_store_rpg_rankings.csv,Worldwide TTRPG Market in 2024 – Industry Analysis (citing ICv2),https://www.rpgdrop.com/worldwide-ttrpg-market-in-2024-industry-analysis/,2026-07-09,ICv2 hobby-channel RPG line rankings; rank order only (percentages not published)
